itemID_i	itemID_j	weight
14576	17731	6
14576	4753	1
14576	50523	2
14576	6540	1
14576	72731	1
14576	24764	1
14576	32266	1
14576	59092	1
14576	42836	1
14576	54257	4
14576	14954	1
14576	73344	1
14576	30444	1
14576	34648	1
14576	44475	1
14576	41474	1
14576	17548	1
14576	36243	1
14576	27443	1
14576	35034	1
14576	10004	1
14576	45799	2
14576	27399	1
14576	4944	1
14576	5226	1
14576	18471	1
14576	70580	1
14576	18271	1
14576	12723	1
14576	16335	1
14576	51931	1
14576	52688	1
14576	64957	1
14576	65514	1
14576	55993	1
14576	42215	1
14576	7047	1
14576	14714	1
14576	54986	1
14576	23892	1
14576	35324	1
14576	23720	1
14576	19324	1
14576	31720	1
14576	52898	1
14576	78469	1
14576	20936	1
14576	78864	1
14576	1713	1
14576	48423	1
14576	16463	1
14576	7960	1
14576	36071	1
14576	3128	1
14576	44258	1
14576	6248	1
14576	57111	1
14576	33211	1
14576	17278	2
14576	33744	1
14576	50330	1
14576	66215	1
14576	25904	1
14576	26606	1
14576	37104	1
14576	6224	1
14576	46874	1
14576	34217	1
14576	58079	1
14576	39952	1
14576	77118	1
14576	14803	1
14576	14713	1
14576	36050	1
14576	20919	1
14576	25189	1
14576	7908	2
14576	23050	1
14576	46070	1
14576	65281	1
14576	30810	1
14576	67252	1
14576	48168	1
14576	47926	1
14576	77052	1
14576	42529	1
14576	9375	1
14576	63796	1
14576	51007	1
14576	29695	1
14576	22882	1
14576	46781	1
14576	43775	1
14576	19274	1
14576	44179	1
14576	15185	1
14576	57917	1
14576	6018	1
14576	11745	1
14576	33956	1
14576	19735	1
14576	1361	1
14576	37643	1
14576	29997	1
14576	54038	1
14576	56195	1
14576	21215	1
14576	71150	1
14576	11989	1
14576	75266	1
14576	35054	1
14576	72468	1
14576	70894	1
14576	30552	1
14576	71401	1
14576	9023	1
14576	62670	1
14576	59842	1
14576	20898	1
14576	33908	1
14576	44590	1
14576	14823	1
14576	58779	1
14576	72129	1
14576	25451	1
14576	59195	1
14576	75928	1
14576	11413	1
14576	12073	1
14576	71797	1
14576	17665	1
14576	59397	1
14576	53752	1
14576	28647	1
14576	18707	1
14576	11117	1
14576	7419	1
14576	63337	1
14576	8007	1
14576	4645	1
14576	64335	1
14576	6816	1
14576	20219	1
14576	54770	1
14576	28674	1
14576	6576	1
14576	31995	1
14576	66045	1
14576	74955	1
14576	70481	1
14576	77769	1
14576	4740	1
17731	54257	3
17731	29738	2
17731	39726	2
17731	43934	2
17731	32458	1
17731	33456	1
17731	26850	1
17731	37611	1
17731	71787	1
17731	19379	1
17731	6092	1
17731	51554	1
17731	43468	1
17731	50109	1
17731	45913	1
17731	71701	1
17731	65959	1
17731	14713	2
17731	27133	1
17731	75394	1
17731	37104	2
17731	9816	1
17731	23720	1
17731	62943	1
17731	57917	2
17731	76643	1
17731	4645	2
17731	31786	1
17731	41935	1
17731	58968	1
17731	6320	1
17731	6224	2
17731	29711	1
17731	73040	1
17731	19642	1
17731	12765	1
17731	48840	1
17731	2124	1
17731	20518	1
17731	3106	1
17731	17727	1
17731	37788	1
17731	17794	1
17731	54986	2
17731	78292	1
17731	20698	2
17731	60813	1
17731	73049	1
17731	52938	1
17731	55863	1
17731	489	1
17731	53085	1
17731	42530	1
