itemID|rec_1|rec_2|rec_3|rec_4|rec_5
12|38044|15978|18081|37565|27058
45274|1746|63413|7262|6210|62473
10104|10143|41762|71798|20416|40979
41371|70558|64698|64050|72736|58150
14015|13103|47952|19563|66672|21188
28515|18081|38044|68207|37565|15978
70766|44234|11688|75351|36261|71090
1822|29355|55029|43069|37723|22581
56794|44420|22549|2121|772|39604
60188|23137|14935|59059|8758|12237
62060|28229|67539|71213|67002|39658
31401|18113|68522|20512|49159|46099
6420|33239|43857|70717|41711|56734
72855|52520|72507|56885|50680|62513
73378|29605|14700|32216|66162|28017
25049|59485|71491|71218|61142|15474
24603|54569|32145|74047|61367|26129
5737|27599|32657|10965|76996|15857
38980|53550|39603|8|48385|49126
13382|4787|46822|40521|20674|69525
75121|39425|28451|26274|61099|64495
39779|74274|4013|13500|32809|58432
14026|401|42091|10785|21556|9989
9392|11953|68689|32868|60305|4155
77956|48325|70706|32762|14117|32880
70300|437|45054|16147|69554|57100
77134|8101|68886|40741|23029|10011
75340|42402|25976|27438|45146|19849
51066|66399|8161|23847|72568|16727
67776|6740|23498|62821|49987|63304
53929|21356|34805|8917|21733|56013
22342|36804|75351|23101|35018|59682
41116|61671|33570|1955|72065|18529
60331|15717|4414|78572|54674|52614
65307|35182|35444|11721|20378|44014
50039|24755|7696|66371|40585|47345
42184|22860|17745|57005|32386|4776
76163|16142|11342|57311|74913|56427
2319|61622|8183|56579|23440|73584
62494|27493|62022|67575|50728|49438
31015|74006|16841|26466|52863|18427
21497|48669|19761|21680|77708|55206
53008|59779|67796|37367|49654|78728
39308|36430|70722|33619|51509|18908
4690|75876|58519|78556|29134|16971
19777|27295|74923|31626|54827|26475
10078|43270|9066|28097|25543|47655
65353|29555|76350|51811|16278|49678
58847|35419|28563|22581|37723|28239
61593|6630|49987|62821|23498|60956
18537|28267|64759|56792|28695|40906
73427|68083|78319|57399|6954|65884
7521|7272|34177|36549|62983|26549
71586|33094|6118|40865|3421|47621
13772|52799|13720|65247|10135|61391
33092|63952|22740|31348|22274|52159
74398|15606|29064|69540|72081|75305
74089|7163|8289|61431|47881|26957
57282|18498|73539|73461|78827|13337
38760|52620|847|19669|17589|61966
15657|10294|78423|9256|73878|67569
17665|9282|64890|37374|77471|47678
75251|34597|65078|42394|22714|10372
56282|22121|25040|70909|13007|61684
73973|22780|13500|45146|34667|65266
